FeS,FeD,FeR
1.1120070,0.8651210,0.9242350
1.0862870,0.8828470,0.7912700
1.0372810,0.6532000,0.8079840
0.8218650,0.5960340,0.7330590
1.0979720,0.7065730,0.8667030
1.0096370,0.7738790,0.7814600
0.9323990,0.6972560,0.6552320
0.9025520,0.6223400,0.7252300
,,
,,
0.7530470,0.5392960,0.9311820
1.0965270,0.8167350,0.8841170
1.0308380,0.6043910,0.8669380
1.0762530,0.5684000,1.0059790
0.9997290,0.6484780,1.0653320
1.0400140,0.8010620,
,0.7424810,0.9243460
1.0035930,,1.0273490
,,
,,
1.1640030,0.3496783,0.6044708
0.9683012,0.5231797,0.9218159
0.9723023,0.4965567,0.6678703
1.0087490,0.5383367,0.7728496
0.9797096,0.2220897,0.6227737
0.9069347,0.4261302,0.7704615
,,
1.0132220,0.6300575,0.8714457
1.0480850,0.7080056,0.8954608
0.9223127,0.6108108,0.6809149
0.9243481,0.6152090,0.8730905
0.9723196,0.6699404,0.8334658
1.1197120,0.5826775,0.9492887
,,
0.7496069,0.3583822,0.7503407
1.0610980,0.2913646,0.8845890
0.9099468,0.3243754,0.5690135
1.0061080,0.2618304,0.8409351
1.1190490,0.0976327,0.5274424
1.1541920,0.1957731,0.7672896
,,
0.9596650,0.8992717,0.9294062
1.0385030,0.6268269,0.7251778
1.0389020,0.6878886,0.9992905
1.1271740,,0.9709665
0.8964043,0.5520354,0.7088401
0.9518953,0.6928186,0.7660387
0.9020438,,
1.0297960,,
1.0094460,,
1.1094590,,
1.0284370,,
0.9082754,,